ID,TITLE,BODY
0,Officer Jameson,"""Good evening Detective."""
1,You,"""You were the first officer on scene, correct?"""
11,Officer Jameson,"""That's correct."""
111,You,"""So who noticed the sorry sap first?"""
1111,Officer Jameson,"""Some local called it in, but they didn't stick around.""[back11]"
112,You,"""What'd you see when you got here?"""
1121,Officer Jameson,"""Everything you see here, except the driver was still alive.""[back11][unlock114]"
113,You,"""That's all for now, thanks.""[end]"
114,You,"[locked] ""You're telling me that the stiff was still kicking?"""
1141,Officer Jameson,"""Yep, when I arrived it looked like he was frozen to his seat. I snapped him out of it I think, but then he just started spouting nonsense."""
11411,Officer Jameson,"""I removed him from the truck, and he wasn't even bleeding that badly, but next thing you know he collapses into me, dead as a doornail.""[back11]"
2,You,"""Lets make this quick, I don't want to be burning the midnight oil."""
21,Officer Jameson,"""Well, I'm doing fine."""
211,You,"""Not the point, listen, can you answer some questions?"""
2111,Officer Jameson,"""If I gotta.""[back11]"
212,You,"""Hm. You got a minute?"""
2121,Officer Jameson,"""I guess.""[back11]"
3,You,"""I have some questions."""
31,Officer Jameson,"""What do you got for me."""
311,You,"""You were the first one here, right?"""
3111,Officer Jameson,"""Yep. Some local called in a crash, I got here right before the ambulance, tried helping the driver out of the truck.""[back31][unlock 314]"
312,You,"""When did this happen?"""
3121,Officer Jameson,"""I couldn't tell ya for certain, I got here around 1:30, so the guy couldn't have detoured into a tree earlier than 1:00""[back31]"
313,You,"""I think that's everything.""[end]"
314,You,"[locked] ""What condition was the driver in?"""
3141,Officer Jameson,"""He was still alive, at first he wasn't responsive at all, but I think I snapped him out of it when I tried moving him, and he lost it."""
31411,You,"""What do you mean he 'lost it'?"""
314111,Officer Jameson,"""Like, rambling and sputtering, all nonsense, but he must've tired himself out cause after a bit he collapsed.""[back31]"
31412,You,"""How hurt was he?"""
314121,Officer Jameson,"""I've seen more people survive worse, sure he was bleeding, but nowhere important. But then, after a minute, the poor dude just collapsed into me.""[back31]"
31413,You,"""Crash must've rattled him badly.""[back31]"
