ID,TITLE,BODY
0,Doctor Lash,"""Ah… Detective, hello"""
1,You,"""Hello Dr. Lash, what’re you doing here?"""
11,Doctor Lash,"""I worked with Dr. MacGrain, and was the last one to see him alive it seems…"""
111,You,"""Ah. Did you notice anything– off?"""
1111,Doctor Lash,"""Tiernan was a difficult man to read typically."""
11111,Doctor Lash,"""Earlier though, he definitely seemed– manic, I might say."""
111111,You,"""What do you mean?"""
1111111,Doctor Lash,"""Weirdly excited, he had a large bag with him, and he briefly mentioned he was finally dealing with something."""
11111111,You,"""Did he say anything else?"""
111111111,Doctor Lash,"""Just that he should’ve done this a while ago I believe… that’s all"""
1111111111,You,"""Thanks for your help.""[end]"
1111111112,You,"""Well… sorry for your loss.""[end]"
11111112,You,"""Where was he heading?"""
111111121,Doctor Lash,"""To where he is now. I had just left, so he picked the perfect time when he’d be alone."""
1111111211,You,"""I see…""[end]"
112,You,"""What was he doing when you saw him?"""
1121,Doctor Lash,"""We passed each other in the hallway, he had this large bag with him."""
11211,Doctor Lash,"""I inquired about it, and while he didn’t exactly answer, he did say he was fixing something."""
112111,You,"""Where was he headed?"""
1121111,Doctor Lash,"""Well, right where you’ve found him. I was just leaving to take my break."""
11211111,Doctor Lash,"""He chose the exact time he knew no one would be in the room."""
112111111,You,"""Did he elaborate on what he was fixing?"""
1121111111,Doctor Lash,"""Afraid not. I didn’t ask, figuring he’d made some mistake in his work and was correcting it."""
11211111111,You,"""Very well, that’s all""[end]"
112112,You,"""He did say what he was fixing?"""
1121121,Doctor Lash,"""Not exactly, he just said it had been a problem for a while."""
11211211,Doctor Lash,"""I must say, ashamedly, that I did not inquire further, it was– and still is, incredibly late."""
112112111,You,"""It is, you best get some rest, I’ll take it from here.""[end]"
112112112,You,"""Ah well, that’s all then.""[end]"
2,You,"""Hello Doctor… was the victim one of your coworkers?"""
21,Doctor Lash,"""He was, and I talked to him not too long before he was killed."""
211,You,"""Did he say anything suspicious?"""
2111,Doctor Lash,"""It wasn’t a long conversation, but he said something about trying to fix something that had been bothering him for a while."""
21111,Doctor Lash,"""He said that he couldn’t ignore it any longer."""
211111,Doctor Lash,"""I didn’t inquire further since I am… especially tired."""
2111111,You,"""Has he talked about this problem before?"""
21111111,Doctor Lash,"""I’m not entirely sure. He has talked briefly about things troubling him at home, misfortune, that sort of thing."""
211111111,Doctor Lash,"""But more recently he’s been a bit more bedraggled, and while he didn’t say anything, I think whatever he’s been dealing with got worse recently."""
2111111111,You,"""Is Dr. MacGrain married?"""
21111111111,Doctor Lash,"""Huh?"""
